date,cum_diagnoses,new_diagnoses,cum_severe,new_severe,cum_deaths,new_deaths,new_tests,new_tests_fb,CELR_tests
2022-08-11,13315390.714285718,99046.28571428572,752155.4285714284,5974.571428571428,147519.28571428577,463.57142857142856,2651602.3750180425,2651602.3750180425,540114.0
2022-08-12,,,,,,,2628823.045061619,2628823.045061619,535474.0
2022-08-13,,,,,,,2618479.0691525275,2618479.0691525275,533367.0
2022-08-14,,,,,,,2612789.1460017744,2612789.1460017744,532208.0
2022-08-15,,,,,,,2607325.0524152443,2607325.0524152443,531095.0
2022-08-16,,,,,,,2606485.5555569367,2606485.5555569367,530924.0
2022-08-17,,,,,,,2582793.088666915,2582793.088666915,526098.0
2022-08-18,13408562.000000004,93171.28571428572,757756.5714285712,5601.142857142857,147967.57142857148,448.2857142857143,2574844.8698739302,2574844.8698739302,524479.0
2022-08-19,,,,,,,2564957.4624316376,2564957.4624316376,522465.0
2022-08-20,,,,,,,2562605.8893607054,2562605.8893607054,521986.0
2022-08-21,,,,,,,2545050.0954115307,2545050.0954115307,518410.0
2022-08-22,,,,,,,2557269.438571345,2557269.438571345,520899.0
2022-08-23,,,,,,,2557824.1938051973,2557824.1938051973,521012.0
2022-08-24,,,,,,,2564657.9927921244,2564657.9927921244,522404.0
2022-08-25,13496381.142857147,87819.14285714286,763076.7142857141,5320.142857142857,148531.4285714286,563.8571428571429,2572316.5606223014,2572316.5606223014,523964.0
2022-08-26,,,,,,,2581757.2182745,2581757.2182745,525887.0
2022-08-27,,,,,,,2578600.5137137286,2578600.5137137286,525244.0
2022-08-28,,,,,,,2582370.885568585,2582370.885568585,526012.0
2022-08-29,,,,,,,2579459.647925447,2579459.647925447,525419.0
2022-08-30,,,,,,,2585949.7932276865,2585949.7932276865,526741.0
2022-08-31,,,,,,,2570711.206980976,2570711.206980976,523637.0
2022-09-01,13571561.428571433,75180.28571428571,767790.1428571426,4713.428571428572,148950.1428571429,418.7142857142857,2542958.71727329,2542958.71727329,517984.0
2022-09-02,,,,,,,2504685.515475817,2504685.515475817,510188.0
2022-09-03,,,,,,,2451870.8534777123,2451870.8534777123,499430.0
2022-09-04,,,,,,,2437903.785864345,2437903.785864345,496585.0
2022-09-05,,,,,,,2261467.074807469,2261467.074807469,460646.0
2022-09-06,,,,,,,2148405.0125453067,2148405.0125453067,437616.0
2022-09-07,,,,,,,2169480.802093351,2169480.802093351,441909.0
2022-09-08,13638781.28571429,67219.85714285714,772258.1428571426,4468.0,149408.71428571432,458.57142857142856,2184493.558775839,2184493.558775839,444967.0
2022-09-09,,,,,,,2202442.0997932274,2202442.0997932274,448623.0
2022-09-10,,,,,,,2231294.2812919132,2231294.2812919132,454500.0
2022-09-11,,,,,,,2223753.5375822005,2223753.5375822005,452964.0
2022-09-12,,,,,,,2376178.6747561307,2376178.6747561307,484012.0
2022-09-13,,,,,,,2464001.8285471783,2464001.8285471783,501901.0
2022-09-14,,,,,,,2440726.655417134,2440726.655417134,497160.0
2022-09-15,13695493.428571433,56712.142857142855,776355.2857142854,4097.142857142857,149856.57142857145,447.8571428571428,2418369.528559041,2418369.528559041,492606.0
2022-09-16,,,,,,,2403813.3403433524,2403813.3403433524,489641.0
2022-09-17,,,,,,,2389595.896473998,2389595.896473998,486745.0
2022-09-18,,,,,,,2384828.9289335483,2384828.9289335483,485774.0
2022-09-19,,,,,,,2383164.6632319908,2383164.6632319908,485435.0
2022-09-20,,,,,,,2368323.733391847,2368323.733391847,482412.0
2022-09-21,,,,,,,2346889.562144057,2346889.562144057,478046.0
2022-09-22,13744351.28571429,48857.857142857145,780064.1428571426,3708.857142857142,150271.57142857145,415.0,2325229.5613320437,2325229.5613320437,473634.0
2022-09-23,,,,,,,2303201.36014358,2303201.36014358,469147.0
2022-09-24,,,,,,,2283421.6359206424,2283421.6359206424,465118.0
